event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),product_name,category,city,campaign_name,start_date,end_date,revenue_before,revenue_after,quantity_change,revenue_change
7f650b,STCBE-2,CAMP_SAN_01,P11,190,50% OFF,34,52,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Coimbatore,Sankranti,10-01-2024,16-01-2024,6460,9880,18,3420
a21f91,STBLR-8,CAMP_DIW_01,P03,156,25% OFF,393,322,Atliq_Suflower_Oil (1L),Grocery & Staples,Bengaluru,Diwali,12-11-2023,18-11-2023,61308,50232,-71,-11076
78bc80,STVJD-0,CAMP_SAN_01,P07,300,BOGOF,22,85,Atliq_Curtains,Home Care,Vijayawada,Sankranti,10-01-2024,16-01-2024,6600,25500,63,18900
a1503f,STCBE-1,CAMP_DIW_01,P15,3000,500 Cashback,329,1000,Atliq_Home_Essential_8_Product_Combo,Combo1,Coimbatore,Diwali,12-11-2023,18-11-2023,987000,3000000,671,2013000
1091cf,STBLR-6,CAMP_DIW_01,P05,55,25% OFF,108,93,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Bengaluru,Diwali,12-11-2023,18-11-2023,5940,5115,-15,-825
8.02E+96,STBLR-4,CAMP_DIW_01,P11,190,50% OFF,91,116,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Bengaluru,Diwali,12-11-2023,18-11-2023,17290,22040,25,4750
73d86f,STVSK-2,CAMP_SAN_01,P10,50,25% OFF,31,26,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,1550,1300,-5,-250
fe3560,STHYD-4,CAMP_DIW_01,P13,350,BOGOF,73,245,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Hyderabad,Diwali,12-11-2023,18-11-2023,25550,85750,172,60200
6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,BOGOF,30,79,Atliq_Double_Bedsheet_set,Home Care,Coimbatore,Sankranti,10-01-2024,16-01-2024,35700,94010,49,58310
ce5851,STMDU-2,CAMP_SAN_01,P03,200,BOGOF,318,1265,Atliq_Suflower_Oil (1L),Grocery & Staples,Madurai,Sankranti,10-01-2024,16-01-2024,63600,253000,947,189400
dd6685,STMYS-2,CAMP_DIW_01,P06,415,25% OFF,78,70,Atliq_Fusion_Container_Set_of_3,Home Care,Mysuru,Diwali,12-11-2023,18-11-2023,32370,29050,-8,-3320
8f25a6,STHYD-6,CAMP_SAN_01,P15,3000,500 Cashback,126,302,Atliq_Home_Essential_8_Product_Combo,Combo1,Hyderabad,Sankranti,10-01-2024,16-01-2024,378000,906000,176,528000
5c3c33,STCHE-6,CAMP_DIW_01,P12,62,50% OFF,154,207,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Chennai,Diwali,12-11-2023,18-11-2023,9548,12834,53,3286
d290a1,STBLR-3,CAMP_DIW_01,P04,290,25% OFF,343,270,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Bengaluru,Diwali,12-11-2023,18-11-2023,99470,78300,-73,-21170
635862,STVSK-4,CAMP_SAN_01,P02,860,33% OFF,348,480,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,299280,412800,132,113520
c0ecb5,STCHE-2,CAMP_SAN_01,P07,300,BOGOF,43,167,Atliq_Curtains,Home Care,Chennai,Sankranti,10-01-2024,16-01-2024,12900,50100,124,37200
182caa,STCHE-5,CAMP_SAN_01,P06,415,25% OFF,39,33,Atliq_Fusion_Container_Set_of_3,Home Care,Chennai,Sankranti,10-01-2024,16-01-2024,16185,13695,-6,-2490
c4db5b,STTRV-0,CAMP_DIW_01,P01,172,33% OFF,164,236,Atliq_Masoor_Dal (1KG),Grocery & Staples,Trivandrum,Diwali,12-11-2023,18-11-2023,28208,40592,72,12384
94f48c,STVSK-1,CAMP_SAN_01,P06,415,25% OFF,22,16,Atliq_Fusion_Container_Set_of_3,Home Care,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,9130,6640,-6,-2490
7ef92f,STHYD-5,CAMP_SAN_01,P07,300,BOGOF,55,213,Atliq_Curtains,Home Care,Hyderabad,Sankranti,10-01-2024,16-01-2024,16500,63900,158,47400
0f422c,STBLR-0,CAMP_DIW_01,P14,1020,BOGOF,42,168,Atliq_waterproof_Immersion_Rod,Home Appliances,Bengaluru,Diwali,12-11-2023,18-11-2023,42840,171360,126,128520
1e9a06,STCHE-4,CAMP_DIW_01,P13,350,BOGOF,84,338,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Chennai,Diwali,12-11-2023,18-11-2023,29400,118300,254,88900
02ebe9,STBLR-8,CAMP_DIW_01,P11,190,50% OFF,66,88,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Bengaluru,Diwali,12-11-2023,18-11-2023,12540,16720,22,4180
260ff2,STMYS-2,CAMP_SAN_01,P01,172,33% OFF,204,291,Atliq_Masoor_Dal (1KG),Grocery & Staples,Mysuru,Sankranti,10-01-2024,16-01-2024,35088,50052,87,14964
7fc923,STTRV-0,CAMP_SAN_01,P08,1190,BOGOF,19,74,Atliq_Double_Bedsheet_set,Home Care,Trivandrum,Sankranti,10-01-2024,16-01-2024,22610,88060,55,65450
b08c12,STMDU-3,CAMP_DIW_01,P03,156,25% OFF,227,202,Atliq_Suflower_Oil (1L),Grocery & Staples,Madurai,Diwali,12-11-2023,18-11-2023,35412,31512,-25,-3900
ca7298,STCBE-2,CAMP_SAN_01,P15,3000,500 Cashback,85,228,Atliq_Home_Essential_8_Product_Combo,Combo1,Coimbatore,Sankranti,10-01-2024,16-01-2024,255000,684000,143,429000
bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,BOGOF,59,182,Atliq_waterproof_Immersion_Rod,Home Appliances,Mysuru,Diwali,12-11-2023,18-11-2023,60180,185640,123,125460
35fb5b,STCBE-2,CAMP_DIW_01,P13,350,BOGOF,50,190,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Coimbatore,Diwali,12-11-2023,18-11-2023,17500,66500,140,49000
def6ff,STMDU-0,CAMP_DIW_01,P11,190,50% OFF,70,89,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Madurai,Diwali,12-11-2023,18-11-2023,13300,16910,19,3610
2f3e5d,STCHE-2,CAMP_SAN_01,P01,172,33% OFF,333,402,Atliq_Masoor_Dal (1KG),Grocery & Staples,Chennai,Sankranti,10-01-2024,16-01-2024,57276,69144,69,11868
ca3893,STMYS-1,CAMP_SAN_01,P09,90,25% OFF,52,39,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Mysuru,Sankranti,10-01-2024,16-01-2024,4680,3510,-13,-1170
922e6a,STBLR-8,CAMP_SAN_01,P05,55,25% OFF,34,24,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Bengaluru,Sankranti,10-01-2024,16-01-2024,1870,1320,-10,-550
4f0587,STMDU-0,CAMP_SAN_01,P08,1190,BOGOF,33,136,Atliq_Double_Bedsheet_set,Home Care,Madurai,Sankranti,10-01-2024,16-01-2024,39270,161840,103,122570
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109,Atliq_Double_Bedsheet_set,Home Care,Vijayawada,Sankranti,10-01-2024,16-01-2024,32130,129710,82,97580
df45ee,STHYD-3,CAMP_DIW_01,P01,172,33% OFF,309,534,Atliq_Masoor_Dal (1KG),Grocery & Staples,Hyderabad,Diwali,12-11-2023,18-11-2023,53148,91848,225,38700
f3ac85,STBLR-5,CAMP_SAN_01,P03,200,BOGOF,348,1350,Atliq_Suflower_Oil (1L),Grocery & Staples,Bengaluru,Sankranti,10-01-2024,16-01-2024,69600,270000,1002,200400
292ca5,STHYD-2,CAMP_DIW_01,P04,290,25% OFF,287,220,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Hyderabad,Diwali,12-11-2023,18-11-2023,83230,63800,-67,-19430
620715,STMYS-3,CAMP_SAN_01,P03,200,BOGOF,340,1485,Atliq_Suflower_Oil (1L),Grocery & Staples,Mysuru,Sankranti,10-01-2024,16-01-2024,68000,297000,1145,229000
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82,Atliq_Double_Bedsheet_set,Home Care,Vijayawada,Diwali,12-11-2023,18-11-2023,28560,97580,58,69020
761785,STBLR-4,CAMP_SAN_01,P14,1020,BOGOF,121,474,Atliq_waterproof_Immersion_Rod,Home Appliances,Bengaluru,Sankranti,10-01-2024,16-01-2024,123420,483480,353,360060
eb3bea,STVSK-2,CAMP_SAN_01,P15,3000,500 Cashback,109,238,Atliq_Home_Essential_8_Product_Combo,Combo1,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,327000,714000,129,387000
276150,STCBE-3,CAMP_SAN_01,P07,300,BOGOF,33,128,Atliq_Curtains,Home Care,Coimbatore,Sankranti,10-01-2024,16-01-2024,9900,38400,95,28500
3beb46,STMYS-2,CAMP_SAN_01,P13,350,BOGOF,81,208,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Mysuru,Sankranti,10-01-2024,16-01-2024,28350,72800,127,44450
47af00,STVJD-1,CAMP_DIW_01,P03,156,25% OFF,183,150,Atliq_Suflower_Oil (1L),Grocery & Staples,Vijayawada,Diwali,12-11-2023,18-11-2023,28548,23400,-33,-5148
627200,STCBE-4,CAMP_DIW_01,P14,1020,BOGOF,36,111,Atliq_waterproof_Immersion_Rod,Home Appliances,Coimbatore,Diwali,12-11-2023,18-11-2023,36720,113220,75,76500
bc8315,STHYD-1,CAMP_DIW_01,P12,62,50% OFF,122,135,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Hyderabad,Diwali,12-11-2023,18-11-2023,7564,8370,13,806
1f083a,STVJD-0,CAMP_SAN_01,P06,415,25% OFF,16,14,Atliq_Fusion_Container_Set_of_3,Home Care,Vijayawada,Sankranti,10-01-2024,16-01-2024,6640,5810,-2,-830
c1e0b6,STCHE-6,CAMP_SAN_01,P01,172,33% OFF,273,379,Atliq_Masoor_Dal (1KG),Grocery & Staples,Chennai,Sankranti,10-01-2024,16-01-2024,46956,65188,106,18232
f60d93,STCBE-0,CAMP_DIW_01,P05,55,25% OFF,78,75,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Coimbatore,Diwali,12-11-2023,18-11-2023,4290,4125,-3,-165
a10402,STVSK-2,CAMP_SAN_01,P02,860,33% OFF,295,436,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,253700,374960,141,121260
741bef,STMYS-0,CAMP_SAN_01,P13,350,BOGOF,114,287,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Mysuru,Sankranti,10-01-2024,16-01-2024,39900,100450,173,60550
105788,STCHE-0,CAMP_SAN_01,P07,300,BOGOF,58,232,Atliq_Curtains,Home Care,Chennai,Sankranti,10-01-2024,16-01-2024,17400,69600,174,52200
a85a9a,STHYD-2,CAMP_SAN_01,P10,50,25% OFF,42,31,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Hyderabad,Sankranti,10-01-2024,16-01-2024,2100,1550,-11,-550
4.47E+06,STVJD-0,CAMP_SAN_01,P04,370,BOGOF,253,1017,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Vijayawada,Sankranti,10-01-2024,16-01-2024,93610,376290,764,282680
830e9a,STCHE-1,CAMP_DIW_01,P01,172,33% OFF,325,396,Atliq_Masoor_Dal (1KG),Grocery & Staples,Chennai,Diwali,12-11-2023,18-11-2023,55900,68112,71,12212
29524a,STBLR-9,CAMP_SAN_01,P10,50,25% OFF,40,36,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Bengaluru,Sankranti,10-01-2024,16-01-2024,2000,1800,-4,-200
3ce076,STMLR-1,CAMP_DIW_01,P11,190,50% OFF,38,50,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Mangalore,Diwali,12-11-2023,18-11-2023,7220,9500,12,2280
32fa85,STCHE-3,CAMP_DIW_01,P05,55,25% OFF,106,92,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Chennai,Diwali,12-11-2023,18-11-2023,5830,5060,-14,-770
42f304,STCBE-3,CAMP_DIW_01,P06,415,25% OFF,66,57,Atliq_Fusion_Container_Set_of_3,Home Care,Coimbatore,Diwali,12-11-2023,18-11-2023,27390,23655,-9,-3735
a929ed,STHYD-5,CAMP_DIW_01,P03,156,25% OFF,358,347,Atliq_Suflower_Oil (1L),Grocery & Staples,Hyderabad,Diwali,12-11-2023,18-11-2023,55848,54132,-11,-1716
6dae49,STBLR-1,CAMP_DIW_01,P05,55,25% OFF,117,114,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Bengaluru,Diwali,12-11-2023,18-11-2023,6435,6270,-3,-165
3b54c7,STHYD-3,CAMP_DIW_01,P04,290,25% OFF,367,297,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Hyderabad,Diwali,12-11-2023,18-11-2023,106430,86130,-70,-20300
7d6e2a,STMLR-0,CAMP_DIW_01,P03,156,25% OFF,166,146,Atliq_Suflower_Oil (1L),Grocery & Staples,Mangalore,Diwali,12-11-2023,18-11-2023,25896,22776,-20,-3120
c8ce63,STMDU-0,CAMP_DIW_01,P15,3000,500 Cashback,369,1221,Atliq_Home_Essential_8_Product_Combo,Combo1,Madurai,Diwali,12-11-2023,18-11-2023,1107000,3663000,852,2556000
bd1314,STMYS-2,CAMP_SAN_01,P05,55,25% OFF,37,30,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Mysuru,Sankranti,10-01-2024,16-01-2024,2035,1650,-7,-385
7634c0,STMLR-0,CAMP_SAN_01,P10,50,25% OFF,15,12,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Mangalore,Sankranti,10-01-2024,16-01-2024,750,600,-3,-150
d304f9,STCHE-5,CAMP_DIW_01,P04,290,25% OFF,309,268,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Chennai,Diwali,12-11-2023,18-11-2023,89610,77720,-41,-11890
34ac29,STMDU-0,CAMP_DIW_01,P06,415,25% OFF,73,64,Atliq_Fusion_Container_Set_of_3,Home Care,Madurai,Diwali,12-11-2023,18-11-2023,30295,26560,-9,-3735
57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,BOGOF,100,391,Atliq_waterproof_Immersion_Rod,Home Appliances,Hyderabad,Sankranti,10-01-2024,16-01-2024,102000,398820,291,296820
70e65e,STCBE-0,CAMP_DIW_01,P15,3000,500 Cashback,320,937,Atliq_Home_Essential_8_Product_Combo,Combo1,Coimbatore,Diwali,12-11-2023,18-11-2023,960000,2811000,617,1851000
cf2a34,STHYD-3,CAMP_DIW_01,P06,415,25% OFF,106,81,Atliq_Fusion_Container_Set_of_3,Home Care,Hyderabad,Diwali,12-11-2023,18-11-2023,43990,33615,-25,-10375
1c1cb7,STHYD-5,CAMP_SAN_01,P10,50,25% OFF,39,35,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Hyderabad,Sankranti,10-01-2024,16-01-2024,1950,1750,-4,-200
8.25E+90,STBLR-3,CAMP_DIW_01,P05,55,25% OFF,112,88,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Bengaluru,Diwali,12-11-2023,18-11-2023,6160,4840,-24,-1320
ad56bd,STMLR-2,CAMP_DIW_01,P09,110,50% OFF,36,37,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Mangalore,Diwali,12-11-2023,18-11-2023,3960,4070,1,110
32efe6,STVSK-3,CAMP_SAN_01,P08,1190,BOGOF,30,81,Atliq_Double_Bedsheet_set,Home Care,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,35700,96390,51,60690
eaa64b,STBLR-3,CAMP_SAN_01,P09,90,25% OFF,58,43,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Bengaluru,Sankranti,10-01-2024,16-01-2024,5220,3870,-15,-1350
9e82db,STMDU-1,CAMP_DIW_01,P05,55,25% OFF,92,79,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Madurai,Diwali,12-11-2023,18-11-2023,5060,4345,-13,-715
d5b8af,STVJD-1,CAMP_SAN_01,P11,190,50% OFF,25,35,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Vijayawada,Sankranti,10-01-2024,16-01-2024,4750,6650,10,1900
6d24bc,STMDU-2,CAMP_DIW_01,P03,156,25% OFF,206,179,Atliq_Suflower_Oil (1L),Grocery & Staples,Madurai,Diwali,12-11-2023,18-11-2023,32136,27924,-27,-4212
107747,STHYD-1,CAMP_SAN_01,P02,860,33% OFF,488,580,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Hyderabad,Sankranti,10-01-2024,16-01-2024,419680,498800,92,79120
04da18,STVSK-4,CAMP_SAN_01,P03,200,BOGOF,223,604,Atliq_Suflower_Oil (1L),Grocery & Staples,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,44600,120800,381,76200
